ticker,snapshot_date,pe_vs_peers,ev_ebitda_vs_peers,growth_vs_peers,margin_vs_peers,roic_vs_peers,sector_relative_pe,sector_relative_growth,sector_relative_roic
GOOGL,2026-05-22,0.690000,0.755000,-0.040200,-0.052200,-0.009800,0.768000,-0.035200,-0.004200
AMZN,2026-05-22,0.597000,0.435000,0.038000,-0.093700,-0.032000,0.530000,0.053200,0.030300
TSLA,2026-05-22,2.773000,3.675000,-0.106400,-0.035400,-0.060500,1.470000,-0.053200,-0.030200
JPM,2026-05-22,0.421000,0.507000,0.007700,-0.243500,-0.299300,0.593000,0.003900,-0.149600
V,2026-05-22,2.375000,1.973000,-0.007700,0.243500,0.299300,1.407000,-0.003900,0.149700
NFLX,2026-05-22,1.703000,1.737000,-0.023700,-0.104300,-0.039800,1.380000,-0.015800,-0.026600
AAPL,2026-05-29,0.754000,0.734000,-0.424400,-0.227200,0.036200,0.822000,-0.283000,0.024100
MSFT,2026-05-29,0.943000,0.803000,-0.188300,0.023900,-0.268900,0.861000,-0.189000,-0.272800
NVDA,2026-05-29,1.566000,1.841000,0.707900,0.250400,0.373100,1.318000,0.471900,0.248700
META,2026-05-29,0.794000,0.714000,0.065600,0.115300,0.044300,0.852000,0.043700,0.029500
GOOGL,2026-05-29,0.690000,0.755000,-0.027400,-0.045800,-0.005300,0.768000,-0.026800,-0.001400
AMZN,2026-05-29,0.597000,0.435000,0.033900,-0.094800,-0.032200,0.530000,0.052700,0.032200
TSLA,2026-05-29,2.773000,3.675000,-0.105400,-0.036200,-0.064400,1.470000,-0.052700,-0.032200
JPM,2026-05-29,0.421000,0.507000,0.011800,-0.237400,-0.302100,0.593000,0.005900,-0.151000
V,2026-05-29,2.375000,1.973000,-0.011800,0.237400,0.302100,1.407000,-0.005900,0.151100
NFLX,2026-05-29,1.703000,1.737000,-0.025400,-0.105700,-0.042300,1.380000,-0.017000,-0.028200
AAPL,2026-06-05,0.754000,0.734000,-0.421900,-0.233100,0.046400,0.822000,-0.281300,0.030900
MSFT,2026-06-05,0.943000,0.803000,-0.185400,0.030900,-0.263100,0.861000,-0.187400,-0.268700
NVDA,2026-06-05,1.566000,1.841000,0.703000,0.251900,0.356600,1.318000,0.468600,0.237700
META,2026-06-05,0.794000,0.714000,0.067200,0.125200,0.046300,0.852000,0.044800,0.030900
GOOGL,2026-06-05,0.690000,0.755000,-0.032100,-0.056300,-0.011000,0.768000,-0.030200,-0.005400
AMZN,2026-06-05,0.597000,0.435000,0.036800,-0.092100,-0.033000,0.530000,0.054100,0.030000
TSLA,2026-06-05,2.773000,3.675000,-0.108200,-0.035600,-0.060000,1.470000,-0.054100,-0.030000
JPM,2026-06-05,0.421000,0.507000,0.014900,-0.237700,-0.301500,0.593000,0.007400,-0.150700
V,2026-06-05,2.375000,1.973000,-0.014900,0.237700,0.301500,1.407000,-0.007400,0.150800
NFLX,2026-06-05,1.703000,1.737000,-0.021900,-0.105800,-0.038100,1.380000,-0.014600,-0.025400
AAPL,2026-06-12,0.754000,0.734000,-0.439800,-0.226900,0.044400,0.822000,-0.293200,0.029600
MSFT,2026-06-12,0.943000,0.803000,-0.190300,0.028700,-0.268300,0.861000,-0.195400,-0.275500
NVDA,2026-06-12,1.566000,1.841000,0.732900,0.248800,0.368800,1.318000,0.488600,0.245800
META,2026-06-12,0.794000,0.714000,0.062500,0.135200,0.053000,0.852000,0.041700,0.035300
GOOGL,2026-06-12,0.690000,0.755000,-0.037200,-0.058600,-0.013200,0.768000,-0.032100,-0.006100
AMZN,2026-06-12,0.597000,0.435000,0.042200,-0.090600,-0.032000,0.530000,0.055200,0.030300
TSLA,2026-06-12,2.773000,3.675000,-0.110500,-0.037200,-0.060600,1.470000,-0.055200,-0.030300
JPM,2026-06-12,0.421000,0.507000,0.014600,-0.226400,-0.300400,0.593000,0.007300,-0.150200
V,2026-06-12,2.375000,1.973000,-0.014600,0.226400,0.300400,1.407000,-0.007300,0.150200
NFLX,2026-06-12,1.703000,1.737000,-0.014300,-0.112300,-0.043900,1.380000,-0.009500,-0.029300
AAPL,2026-06-18,0.754000,0.734000,-0.438600,-0.221700,0.047500,0.822000,-0.292400,0.031700
MSFT,2026-06-18,0.943000,0.803000,-0.188500,0.024800,-0.267500,0.861000,-0.194300,-0.272500
NVDA,2026-06-18,1.566000,1.841000,0.730100,0.247200,0.361200,1.318000,0.486700,0.240800
META,2026-06-18,0.794000,0.714000,0.076800,0.134400,0.049100,0.852000,0.051200,0.032800
GOOGL,2026-06-18,0.690000,0.755000,-0.043800,-0.059500,-0.006200,0.768000,-0.038000,-0.001100
AMZN,2026-06-18,0.597000,0.435000,0.036200,-0.088500,-0.035100,0.530000,0.052500,0.031200
TSLA,2026-06-18,2.773000,3.675000,-0.104900,-0.037600,-0.062300,1.470000,-0.052400,-0.031100
JPM,2026-06-18,0.421000,0.507000,0.026200,-0.238300,-0.302100,0.593000,0.013100,-0.151000
V,2026-06-18,2.375000,1.973000,-0.026200,0.238300,0.302100,1.407000,-0.013100,0.151100
NFLX,2026-06-18,1.703000,1.737000,-0.019800,-0.107700,-0.047500,1.380000,-0.013200,-0.031600
AAPL,2026-06-26,0.754000,0.734000,-0.440100,-0.227400,0.054200,0.822000,-0.293400,0.036100
MSFT,2026-06-26,0.943000,0.803000,-0.194400,0.031500,-0.269700,0.861000,-0.197700,-0.275600
NVDA,2026-06-26,1.566000,1.841000,0.736700,0.245900,0.359200,1.318000,0.491100,0.239400
META,2026-06-26,0.794000,0.714000,0.078300,0.129500,0.048100,0.852000,0.052200,0.032100
GOOGL,2026-06-26,0.690000,0.755000,-0.040300,-0.058400,-0.008700,0.768000,-0.037000,-0.002800
AMZN,2026-06-26,0.597000,0.435000,0.034800,-0.089900,-0.035200,0.530000,0.052600,0.030000
TSLA,2026-06-26,2.773000,3.675000,-0.105100,-0.037500,-0.060000,1.470000,-0.052500,-0.030000
JPM,2026-06-26,0.421000,0.507000,0.025300,-0.222600,-0.291400,0.593000,0.012700,-0.145700
V,2026-06-26,2.375000,1.973000,-0.025300,0.222600,0.291400,1.407000,-0.012600,0.145700
NFLX,2026-06-26,1.703000,1.737000,-0.022800,-0.107500,-0.043800,1.380000,-0.015200,-0.029200
AAPL,2026-07-02,0.754000,0.734000,-0.434800,-0.223900,0.061200,0.822000,-0.289900,0.040800
MSFT,2026-07-02,0.943000,0.803000,-0.176300,0.022400,-0.267100,0.861000,-0.183600,-0.273800
NVDA,2026-07-02,1.566000,1.841000,0.710300,0.252300,0.349400,1.318000,0.473500,0.232900
META,2026-07-02,0.794000,0.714000,0.072900,0.126800,0.048900,0.852000,0.048600,0.032600
GOOGL,2026-07-02,0.690000,0.755000,-0.041900,-0.056700,-0.013500,0.768000,-0.034600,-0.006900
AMZN,2026-07-02,0.597000,0.435000,0.033200,-0.089500,-0.030300,0.530000,0.051100,0.031900
TSLA,2026-07-02,2.773000,3.675000,-0.102200,-0.038100,-0.063800,1.470000,-0.051100,-0.031900
JPM,2026-07-02,0.421000,0.507000,0.021400,-0.238500,-0.286200,0.593000,0.010700,-0.143100
V,2026-07-02,2.375000,1.973000,-0.021400,0.238500,0.286200,1.407000,-0.010700,0.143100
NFLX,2026-07-02,1.703000,1.737000,-0.021000,-0.103700,-0.038700,1.380000,-0.014000,-0.025800
AAPL,2026-07-10,0.754000,0.734000,-0.430400,-0.221900,0.057000,0.822000,-0.286900,0.038000
MSFT,2026-07-10,0.943000,0.803000,-0.179600,0.031200,-0.274500,0.861000,-0.187200,-0.279200
NVDA,2026-07-10,1.566000,1.841000,0.711200,0.242600,0.361800,1.318000,0.474200,0.241200
META,2026-07-10,0.794000,0.714000,0.074700,0.126600,0.049900,0.852000,0.049800,0.033300
GOOGL,2026-07-10,0.690000,0.755000,-0.046700,-0.060800,-0.010000,0.768000,-0.039100,-0.005300
AMZN,2026-07-10,0.597000,0.435000,0.042600,-0.092100,-0.033100,0.530000,0.054900,0.030000
TSLA,2026-07-10,2.773000,3.675000,-0.109700,-0.032800,-0.059900,1.470000,-0.054800,-0.030000
JPM,2026-07-10,0.421000,0.507000,0.028800,-0.226400,-0.301500,0.593000,0.014400,-0.150700
V,2026-07-10,2.375000,1.973000,-0.028800,0.226400,0.301500,1.407000,-0.014400,0.150800
NFLX,2026-07-10,1.703000,1.737000,-0.016100,-0.102900,-0.041900,1.380000,-0.010700,-0.027900
AAPL,2026-07-17,0.754000,0.734000,-0.435400,-0.225700,0.042500,0.822000,-0.290300,0.028300
MSFT,2026-07-17,0.943000,0.803000,-0.187100,0.029200,-0.271600,0.861000,-0.191200,-0.279000
NVDA,2026-07-17,1.566000,1.841000,0.722300,0.246900,0.376000,1.318000,0.481500,0.250600
META,2026-07-17,0.794000,0.714000,0.080800,0.125800,0.055700,0.852000,0.053900,0.037200
GOOGL,2026-07-17,0.690000,0.755000,-0.040800,-0.057600,-0.016700,0.768000,-0.036700,-0.009300
AMZN,2026-07-17,0.597000,0.435000,0.040000,-0.090700,-0.029300,0.530000,0.055000,0.031700
TSLA,2026-07-17,2.773000,3.675000,-0.109900,-0.037100,-0.063400,1.470000,-0.054900,-0.031700
JPM,2026-07-17,0.421000,0.507000,0.031400,-0.225100,-0.289200,0.593000,0.015700,-0.144600
V,2026-07-17,2.375000,1.973000,-0.031400,0.225100,0.289200,1.407000,-0.015700,0.144600
NFLX,2026-07-17,1.703000,1.737000,-0.025700,-0.104300,-0.041800,1.380000,-0.017100,-0.027800
AAPL,2026-07-24,0.754000,0.734000,-0.441000,-0.226500,0.071300,0.822000,-0.294000,0.047500
MSFT,2026-07-24,0.943000,0.803000,-0.182500,0.019800,-0.270800,0.861000,-0.191000,-0.277300
NVDA,2026-07-24,1.566000,1.841000,0.727500,0.258700,0.344600,1.318000,0.485000,0.229700
META,2026-07-24,0.794000,0.714000,0.071000,0.128100,0.058400,0.852000,0.047300,0.038900
GOOGL,2026-07-24,0.690000,0.755000,-0.043500,-0.057800,-0.017100,0.768000,-0.035000,-0.010700
AMZN,2026-07-24,0.597000,0.435000,0.044600,-0.089300,-0.028400,0.530000,0.055500,0.031700
TSLA,2026-07-24,2.773000,3.675000,-0.111000,-0.038100,-0.063400,1.470000,-0.055500,-0.031700
JPM,2026-07-24,0.421000,0.507000,0.023900,-0.230000,-0.283100,0.593000,0.012000,-0.141500
V,2026-07-24,2.375000,1.973000,-0.023900,0.230000,0.283100,1.407000,-0.012000,0.141600
NFLX,2026-07-24,1.703000,1.737000,-0.018400,-0.103200,-0.042400,1.380000,-0.012300,-0.028300
AAPL,2026-07-31,0.754000,0.734000,-0.428500,-0.230500,0.057200,0.822000,-0.285700,0.038100
MSFT,2026-07-31,0.943000,0.803000,-0.183300,0.024200,-0.266700,0.861000,-0.189800,-0.274700
NVDA,2026-07-31,1.566000,1.841000,0.713200,0.258500,0.354900,1.318000,0.475500,0.236600
META,2026-07-31,0.794000,0.714000,0.077700,0.129400,0.052000,0.852000,0.051800,0.034700
GOOGL,2026-07-31,0.690000,0.755000,-0.046200,-0.059700,-0.015500,0.768000,-0.039700,-0.007400
AMZN,2026-07-31,0.597000,0.435000,0.044600,-0.089600,-0.030200,0.530000,0.054700,0.031000
TSLA,2026-07-31,2.773000,3.675000,-0.109300,-0.036100,-0.062100,1.470000,-0.054600,-0.031100
JPM,2026-07-31,0.421000,0.507000,0.021400,-0.214400,-0.301600,0.593000,0.010700,-0.150800
V,2026-07-31,2.375000,1.973000,-0.021400,0.214400,0.301600,1.407000,-0.010700,0.150800
NFLX,2026-07-31,1.703000,1.737000,-0.018200,-0.104100,-0.040800,1.380000,-0.012100,-0.027200
AAPL,2026-08-07,0.754000,0.734000,-0.420300,-0.235300,0.054800,0.822000,-0.280200,0.036600
MSFT,2026-08-07,0.943000,0.803000,-0.179000,0.039100,-0.283100,0.861000,-0.184800,-0.287400
NVDA,2026-08-07,1.566000,1.841000,0.697600,0.247800,0.376300,1.318000,0.465100,0.250900
META,2026-08-07,0.794000,0.714000,0.077200,0.141100,0.052700,0.852000,0.051400,0.035100
GOOGL,2026-08-07,0.690000,0.755000,-0.049700,-0.069400,-0.011500,0.768000,-0.043900,-0.007100
AMZN,2026-08-07,0.597000,0.435000,0.042100,-0.090300,-0.030200,0.530000,0.054000,0.030600
TSLA,2026-08-07,2.773000,3.675000,-0.107900,-0.036000,-0.061200,1.470000,-0.053900,-0.030600
JPM,2026-08-07,0.421000,0.507000,0.032000,-0.223400,-0.295400,0.593000,0.016000,-0.147700
V,2026-08-07,2.375000,1.973000,-0.032000,0.223400,0.295400,1.407000,-0.016000,0.147700
NFLX,2026-08-07,1.703000,1.737000,-0.011300,-0.108000,-0.042000,1.380000,-0.007600,-0.028000
AAPL,2026-08-14,0.754000,0.734000,-0.440100,-0.226400,0.053500,0.822000,-0.293400,0.035600
MSFT,2026-08-14,0.943000,0.803000,-0.191100,0.029800,-0.267200,0.861000,-0.197100,-0.275200
NVDA,2026-08-14,1.566000,1.841000,0.735900,0.247800,0.359300,1.318000,0.490600,0.239500
META,2026-08-14,0.794000,0.714000,0.086800,0.137700,0.056000,0.852000,0.057900,0.037400
GOOGL,2026-08-14,0.690000,0.755000,-0.045400,-0.063900,-0.017000,0.768000,-0.039300,-0.009000
AMZN,2026-08-14,0.597000,0.435000,0.043500,-0.087800,-0.033600,0.530000,0.055100,0.029000
TSLA,2026-08-14,2.773000,3.675000,-0.110200,-0.037300,-0.058000,1.470000,-0.055100,-0.029000
JPM,2026-08-14,0.421000,0.507000,0.025400,-0.228000,-0.291000,0.593000,0.012700,-0.145500
V,2026-08-14,2.375000,1.973000,-0.025400,0.228000,0.291000,1.407000,-0.012700,0.145500
NFLX,2026-08-14,1.703000,1.737000,-0.027800,-0.108000,-0.042500,1.380000,-0.018500,-0.028300
AAPL,2026-08-21,0.754000,0.734000,-0.438700,-0.230400,0.044400,0.822000,-0.292500,0.029600
MSFT,2026-08-21,0.943000,0.803000,-0.187800,0.032600,-0.271300,0.861000,-0.196100,-0.279800
NVDA,2026-08-21,1.566000,1.841000,0.732800,0.254100,0.375400,1.318000,0.488500,0.250300
META,2026-08-21,0.794000,0.714000,0.076100,0.139300,0.053700,0.852000,0.050700,0.035800
GOOGL,2026-08-21,0.690000,0.755000,-0.050500,-0.077500,-0.018500,0.768000,-0.042200,-0.009900
AMZN,2026-08-21,0.597000,0.435000,0.039200,-0.083700,-0.032000,0.530000,0.051600,0.029400
TSLA,2026-08-21,2.773000,3.675000,-0.103100,-0.035400,-0.058800,1.470000,-0.051500,-0.029400
JPM,2026-08-21,0.421000,0.507000,0.022700,-0.224100,-0.291100,0.593000,0.011300,-0.145500
V,2026-08-21,2.375000,1.973000,-0.022700,0.224100,0.291100,1.407000,-0.011300,0.145600
NFLX,2026-08-21,1.703000,1.737000,-0.012800,-0.095700,-0.038700,1.380000,-0.008500,-0.025800
