ticker,snapshot_date,close,return_1d,return_1w,return_1m,momentum_1w,momentum_1m,momentum_3m,momentum_6m,volatility_30d,volatility_90d,drawdown,distance_52w_high,distance_52w_low,volume_change,pe_ratio,forward_pe,ev_ebitda,price_to_sales,fcf_yield,revenue_growth_yoy,eps_growth_yoy,ebitda_growth_yoy,gross_margin,operating_margin,net_margin,roe,roa,roic,debt_to_equity,net_debt_ebitda,current_ratio,earnings_surprise,earnings_sentiment,sector_relative_pe,sector_relative_growth,sector_relative_roic,analyst_signal,news_sentiment,sp500_return_1m,nasdaq_return_1m,sector_return_1m,interest_rate,inflation,market_regime,valuation_score,growth_score,quality_score,financial_health_score,momentum_score,earnings_score,baseline_investment_score
AMZN,2026-01-30,220.260000,0.010970,-0.072940,-0.153990,-0.072940,-0.153990,-0.172860,-0.093210,0.330800,0.292550,-0.273050,-0.273050,0.010970,0.058300,45.600000,33.010000,19.020000,3.570000,0.015240,0.099200,0.133900,0.113900,0.480000,0.105000,0.088000,0.203800,0.085500,0.136300,0.514600,1.046000,1.034000,-0.000300,0.580000,0.530000,0.045500,0.028500,3.810000,-0.343000,-0.007200,-0.010400,-0.018000,4.230000,3.010000,neutral,0.466700,0.222200,0.222200,0.305600,0.444400,0.433300,0.338100
TSLA,2026-01-30,674.150000,-0.027940,0.081700,-0.142700,0.081700,-0.142700,0.090980,0.031600,0.702780,0.610870,-0.221690,-0.221690,1.167270,0.190500,122.700000,99.610000,71.490000,12.860000,0.002770,0.008200,0.009600,0.009000,0.177000,0.070900,0.070200,0.099100,0.059800,0.079200,0.171700,1.582000,1.953000,0.008500,0.508000,1.470000,-0.045500,-0.028600,3.850000,-0.058000,0.021300,0.008100,-0.022600,4.230000,3.010000,risk-off,0.044400,0,0,0.777800,0.655600,0.277800,0.251700
JPM,2026-01-30,243.360000,-0.007910,-0.022100,-0.117010,-0.022100,-0.117010,-0.204600,-0.150160,0.274880,0.246930,-0.221570,-0.221570,0.007830,-0.003300,12.800000,14.320000,11.930000,3.770000,0.050400,0.102600,0.148600,0.127000,0.604100,0.403800,0.315700,0.165800,0.013400,0.110200,1.260300,1.115000,1.085000,0.027500,0.578000,0.593000,-0.002000,-0.163200,4.360000,0.065000,0.013300,0.008500,-0.019200,4.230000,3.010000,neutral,0.977800,0.333300,0.288900,0.144400,0.455600,0.644400,0.474400
V,2026-01-30,395.230000,0.003840,0.033440,-0.041940,0.033440,-0.041940,0.029160,0.077190,0.175950,0.175890,-0.064190,-0.064190,0.182580,0.232900,30.110000,27.020000,23.460000,16.810000,0.030820,0.106600,0.149900,0.138900,0.810700,0.678400,0.560300,0.518100,0.211000,0.436700,0.520300,1.091000,1.342000,0.049500,0.507000,1.407000,0.002000,0.163300,3.520000,-0.075000,0.033600,-0.009900,0.033700,4.230000,3.010000,risk-on,0.533300,0.444400,0.866700,0.438900,0.961100,0.388900,0.617800
NFLX,2026-01-30,1572.130000,0.018250,0.028810,-0.198980,0.028810,-0.198980,-0.144020,0.048640,0.338900,0.324360,-0.198980,-0.198980,0.686170,-0.116200,47.910000,34.220000,30,10.430000,0.019810,0.149100,0.172200,0.174400,0.454800,0.259200,0.214300,0.345300,0.137100,0.230600,0.687600,2.201000,1.171000,0.008100,0.451000,1.380000,-0.014300,-0.031900,3.370000,0.527000,-0.002600,0.014500,0.070800,4.230000,3.010000,neutral,0.266700,0.694400,0.322200,0.255600,0.494400,0.266700,0.395800
AAPL,2026-02-06,221.660000,0.012610,-0.002250,-0.052780,-0.002250,-0.052780,-0.222350,-0.190140,0.203450,0.245090,-0.315820,-0.315820,0.012610,-0.129500,35.480000,30.070000,26.260000,8.780000,0.029900,0.058600,0.074700,0.065100,0.457700,0.310100,0.230800,1.525600,0.248400,0.563800,1.767800,4.572000,0.827000,-0.016600,0.394000,0.822000,-0.251600,0.030000,3.850000,0.029000,-0.038000,-0.047000,0.068800,4.310000,2.970000,neutral,0.533300,0.111100,0.672200,0,0.422200,0.138900,0.340600
MSFT,2026-02-06,473.040000,0.002820,-0.014250,-0.135980,-0.014250,-0.135980,-0.092660,-0.187980,0.216490,0.236050,-0.224300,-0.224300,0.039240,0.083300,34.770000,28.190000,21.940000,12.360000,0.018700,0.140000,0.173300,0.165700,0.687200,0.439400,0.349500,0.344400,0.177400,0.270700,0.319400,0.677000,1.328000,-0.070100,0.300000,0.861000,-0.170200,-0.263100,3.170000,-0.584000,0.039900,-0.005000,0.083700,4.310000,2.970000,neutral,0.422200,0.577800,0.594400,0.555600,0.516700,0,0.479700
NVDA,2026-02-06,79.740000,0.005930,0.029970,-0.197790,0.029970,-0.197790,-0.190950,-0.435950,0.480050,0.512840,-0.578880,-0.578880,0.072780,0.269900,59.340000,32.800000,44.110000,25.890000,0.021740,0.732100,0.933800,0.827100,0.737400,0.603200,0.548600,0.883000,0.639200,0.766900,0.121300,0.414000,4.041000,0.031500,0.631000,1.318000,0.421900,0.233100,4.640000,-0.042000,-0.024300,-0.025800,0.006500,4.310000,2.970000,risk-off,0.155600,1,0.905600,0.922200,0.094400,0.438900,0.608600
META,2026-02-06,693.970000,-0.008020,-0.101050,-0.168630,-0.101050,-0.168630,-0.257510,-0.285410,0.410350,0.362730,-0.405920,-0.405920,0,0.028600,29.370000,23.790000,17.010000,9.200000,0.040320,0.197400,0.281400,0.223900,0.801900,0.413900,0.366900,0.365000,0.228100,0.291100,0.264900,0.407000,2.873000,0.042600,0.610000,0.852000,0.035200,0.030400,4.200000,-0.207000,-0.033100,-0.046900,0.047400,4.310000,2.970000,risk-off,0.788900,0.888900,0.711100,0.733300,0.088900,0.572200,0.658300
GOOGL,2026-02-06,247.580000,0.021240,0.029010,-0.092520,0.029010,-0.092520,-0.069390,-0.048060,0.336280,0.303230,-0.176110,-0.176110,0.098450,-0.055300,25.250000,22.440000,16.340000,6.680000,0.032120,0.145700,0.186900,0.164800,0.578900,0.325400,0.285700,0.311200,0.204800,0.260600,0.089100,0.127000,1.826000,0.095600,0.988000,0.768000,-0.016500,-0.000100,4.920000,-0.136000,-0.028900,-0.022400,0.007700,4.310000,2.970000,neutral,0.811100,0.700000,0.416700,0.900000,0.633300,1,0.715600
AMZN,2026-02-06,232.770000,0.012970,0.056800,-0.098180,0.056800,-0.098180,-0.113050,-0.037070,0.353790,0.287550,-0.231760,-0.231760,0.068390,-0.123600,43.890000,31.850000,20.190000,3.510000,0.017710,0.103100,0.125400,0.117700,0.481200,0.102600,0.090000,0.200400,0.082900,0.136500,0.518000,1.043000,1.016000,0.082100,0.801000,0.530000,0.047200,0.030000,4.710000,0.191000,0.010900,0.021900,0.003900,4.310000,2.970000,neutral,0.466700,0.244400,0.222200,0.305600,0.500000,0.794400,0.386900
TSLA,2026-02-06,747.270000,0.031370,0.108460,0.183660,0.108460,0.183660,0.200760,0.123210,0.631350,0.610140,-0.137270,-0.137270,1.402330,0.095200,118.450000,90.010000,67.180000,13.030000,0.002950,0.008800,0.009900,0.009600,0.174700,0.071000,0.071400,0.101300,0.059800,0.076500,0.172600,1.582000,1.959000,0.016700,0.596000,1.470000,-0.047100,-0.030000,4.060000,0.335000,0.001600,0.055300,0.023200,4.310000,2.970000,risk-off,0.044400,0,0,0.777800,0.850000,0.233300,0.276400
JPM,2026-02-06,250.190000,0.003850,0.028070,-0.069720,0.028070,-0.069720,-0.163440,-0.117180,0.268650,0.243910,-0.199720,-0.199720,0.036110,-0.231600,13.050000,14.040000,11.410000,3.800000,0.051210,0.105600,0.138700,0.115900,0.601300,0.401900,0.317200,0.163300,0.013600,0.109200,1.275800,1.112000,1.082000,0.063900,0.853000,0.593000,-0.000700,-0.158900,4.040000,-0.390000,-0.037500,0.091700,0.061000,4.310000,2.970000,neutral,0.977800,0.311100,0.288900,0.144400,0.494400,0.844400,0.495800
V,2026-02-06,393.250000,0.000230,-0.005010,-0.026920,-0.005010,-0.026920,-0.011690,0.074390,0.160340,0.165300,-0.068880,-0.068880,0.176660,-0.018100,31.360000,27.600000,21.680000,16.590000,0.027640,0.107000,0.151600,0.128900,0.815400,0.685100,0.564500,0.527100,0.215300,0.427000,0.530500,1.089000,1.307000,0.046000,0.687000,1.407000,0.000700,0.158900,4.240000,-0.077000,0.026700,0.026500,0.016400,4.310000,2.970000,risk-on,0.533300,0.444400,0.866700,0.405600,0.905600,0.583300,0.623900
NFLX,2026-02-06,1568.810000,-0.012880,-0.002110,-0.143890,-0.002110,-0.143890,-0.102900,-0.007850,0.378640,0.327880,-0.200670,-0.200670,0.682600,-0.038900,42.540000,35.070000,32.410000,9.510000,0.017020,0.143500,0.192300,0.173100,0.456500,0.260800,0.211400,0.352100,0.134100,0.230400,0.683800,2.198000,1.205000,0.042300,0.593000,1.380000,-0.018700,-0.030300,3.560000,-0.066000,-0.012400,0.024800,0.039500,4.310000,2.970000,risk-off,0.266700,0.722200,0.322200,0.255600,0.494400,0.394400,0.414200
AAPL,2026-02-13,218.320000,0.025840,-0.015070,-0.015820,-0.015070,-0.015820,-0.213150,-0.243230,0.184690,0.257490,-0.326130,-0.326130,0.025840,0.096300,34.290000,29.930000,24.030000,9.310000,0.027000,0.056900,0.071400,0.067900,0.458400,0.306000,0.230200,1.517200,0.249800,0.565900,1.806900,4.569000,0.832000,-0.043100,0.313000,0.822000,-0.238500,0.033600,3.610000,-0.325000,0.000800,0.039400,-0.064300,4.320000,2.920000,risk-on,0.533300,0.111100,0.672200,0,0.311100,0,0.310000
MSFT,2026-02-13,478.970000,0.008190,0.012540,-0.034240,0.012540,-0.034240,-0.071170,-0.157590,0.153710,0.234470,-0.214570,-0.214570,0.052270,-0.177500,34.130000,28.870000,22.750000,13.070000,0.021270,0.141300,0.184700,0.155600,0.676200,0.438400,0.350300,0.339100,0.179800,0.275400,0.314400,0.675000,1.300000,0.021800,0.420000,0.861000,-0.154100,-0.256900,3.940000,-0.059000,0.052900,-0.040100,-0.034200,4.320000,2.920000,risk-on,0.422200,0.611100,0.594400,0.522200,0.572200,0.494400,0.539200
NVDA,2026-02-13,79.230000,0.006220,-0.006400,-0.086900,-0.006400,-0.086900,-0.194570,-0.465960,0.350860,0.507640,-0.581570,-0.581570,0.065920,0.118400,55.870000,33.080000,41.780000,26.570000,0.021070,0.687900,0.906600,0.829800,0.745100,0.602200,0.541800,0.888600,0.631700,0.755700,0.125200,0.412000,3.990000,0.071000,0.847000,1.318000,0.392500,0.223400,4.330000,-0.316000,0.023700,0.055500,0.030300,4.320000,2.920000,neutral,0.155600,1,0.905600,0.922200,0.138900,0.888900,0.660300
META,2026-02-13,696.830000,0.024270,0.004120,-0.092300,0.004120,-0.092300,-0.197750,-0.304840,0.374800,0.366060,-0.403470,-0.403470,0.033730,-0.155200,27.240000,23.230000,16.460000,8.900000,0.037450,0.200700,0.231100,0.232100,0.808300,0.405400,0.369600,0.358500,0.221600,0.294300,0.254400,0.406000,2.893000,0.009700,0.484000,0.852000,0.038800,0.028700,3.480000,0.119000,0.032100,0.015700,-0.050500,4.320000,2.920000,risk-off,0.788900,0.888900,0.733300,0.733300,0.083300,0.577800,0.662500
GOOGL,2026-02-13,245.290000,0.014640,-0.009250,-0.005390,-0.009250,-0.005390,-0.073330,-0.095040,0.234570,0.295960,-0.183730,-0.183730,0.088290,0.031400,23.420000,23.120000,16.310000,6.490000,0.032150,0.137700,0.185100,0.163500,0.580400,0.322400,0.288100,0.304500,0.210300,0.267100,0.092100,0.127000,1.862000,0.020500,0.473000,0.768000,-0.024200,0.001500,4.130000,0.396000,-0.019900,-0.002800,-0.066300,4.320000,2.920000,neutral,0.811100,0.644400,0.416700,0.900000,0.650000,0.666700,0.673600
AMZN,2026-02-13,232.390000,0.003970,-0.001630,-0.005480,-0.001630,-0.005480,-0.099860,-0.010350,0.279860,0.294680,-0.233010,-0.233010,0.066650,0.011800,41.700000,33.070000,18.650000,3.560000,0.015720,0.100500,0.133000,0.114600,0.486000,0.105000,0.090200,0.203000,0.084400,0.138200,0.513900,1.042000,1.034000,-0.038800,0.395000,0.530000,0.046300,0.030000,3.360000,0.375000,0.036500,0.029900,0.042900,4.320000,2.920000,neutral,0.466700,0.277800,0.222200,0.305600,0.622200,0.111100,0.343600
TSLA,2026-02-13,846.790000,0.016290,0.133180,0.397800,0.133180,0.397800,0.346720,0.376000,0.543100,0.613650,-0.022370,-0.022370,1.722270,-0.110400,122.800000,89.040000,67.110000,13.530000,0.002820,0.007900,0.011200,0.010000,0.174600,0.071400,0.071200,0.100300,0.060300,0.078100,0.174500,1.582000,1.962000,0.025400,0.662000,1.470000,-0.046300,-0.030000,3.790000,0.139000,-0.000500,0.024000,0.000100,4.320000,2.920000,risk-off,0.044400,0,0,0.777800,0.850000,0.705600,0.323600
JPM,2026-02-13,246.170000,0.007650,-0.016070,-0.027800,-0.016070,-0.027800,-0.147260,-0.155040,0.198840,0.239390,-0.212580,-0.212580,0.019460,0.183300,11.960000,14.810000,11.780000,3.810000,0.047490,0.099000,0.142700,0.123200,0.602400,0.398900,0.313100,0.165900,0.013400,0.107600,1.267200,1.112000,1.085000,0.025900,0.661000,0.593000,-0.004000,-0.164600,3.970000,0.353000,0.000100,0.001600,-0.001600,4.320000,2.920000,risk-on,0.977800,0.277800,0.288900,0.144400,0.438900,0.850000,0.481400
V,2026-02-13,392.150000,-0.002490,-0.002800,0.004020,-0.002800,0.004020,-0.001760,0.020770,0.137430,0.166910,-0.071480,-0.071480,0.173360,-0.231000,30.060000,28.650000,22.190000,16.240000,0.030850,0.107000,0.149700,0.127400,0.803400,0.680300,0.559700,0.531700,0.215600,0.436800,0.530400,1.087000,1.324000,-0.021500,0.407000,1.407000,0.004000,0.164600,3.230000,-0.515000,0.024300,-0.005500,0.017900,4.320000,2.920000,risk-on,0.533300,0.444400,0.844400,0.438900,0.905600,0.222200,0.588300
NFLX,2026-02-13,1569.540000,0.031090,0.000470,-0.066810,0.000470,-0.066810,-0.140230,-0.032900,0.342510,0.332410,-0.200300,-0.200300,0.683390,0.022400,45.830000,36.530000,28.820000,10.660000,0.019050,0.147300,0.188900,0.167900,0.452100,0.262800,0.216100,0.347500,0.135800,0.235500,0.688900,2.190000,1.175000,-0.000600,0.466000,1.380000,-0.014600,-0.030100,3.630000,0.127000,-0.026700,0.005200,-0.014800,4.320000,2.920000,neutral,0.266700,0.744400,0.322200,0.255600,0.427800,0.483300,0.417500
AAPL,2026-02-20,230.110000,0.027550,0.081240,0.041410,0.081240,0.041410,-0.085160,-0.225710,0.210590,0.247100,-0.289740,-0.289740,0.081240,-0.353400,33.470000,30.280000,24,9.110000,0.030090,0.055900,0.075600,0.067300,0.446100,0.305900,0.232000,1.512300,0.242800,0.558900,1.816300,4.565000,0.839000,0.046100,0.600000,0.822000,-0.258800,0.026100,4.220000,0.453000,0.020300,0.046800,0.053800,4.230000,2.940000,neutral,0.533300,0.111100,0.650000,0,0.483300,0.627800,0.394200
MSFT,2026-02-20,473.750000,0.022200,-0.002800,-0.037700,-0.002800,-0.037700,-0.049860,-0.192050,0.183460,0.240700,-0.223130,-0.223130,0.040800,-0.121600,34.720000,30.610000,21.900000,12.660000,0.019510,0.145000,0.195100,0.166300,0.689000,0.441000,0.351300,0.338400,0.181300,0.281800,0.316500,0.673000,1.313000,-0.016900,0.369000,0.861000,-0.169700,-0.251000,3.400000,-0.122000,0.022000,0.030400,0.060800,4.230000,2.940000,risk-on,0.422200,0.677800,0.594400,0.522200,0.427800,0.288900,0.510300
NVDA,2026-02-20,84.390000,0.047280,0.071760,0.054610,0.071760,0.054610,0.006320,-0.441240,0.398700,0.470990,-0.554320,-0.554320,0.135340,0.147200,56.500000,34.040000,43.440000,28.410000,0.021540,0.743100,0.937500,0.809100,0.742600,0.617600,0.557100,0.898100,0.636200,0.757700,0.125300,0.403000,4.057000,-0.033600,0.272000,1.318000,0.428400,0.224900,3.970000,-0.538000,0.001800,-0.054200,0.039000,4.230000,2.940000,risk-off,0.155600,1,0.905600,0.922200,0.527800,0.044400,0.634200
META,2026-02-20,699.770000,0.046350,0.028590,-0.094240,0.028590,-0.094240,-0.129100,-0.290350,0.411230,0.368760,-0.400950,-0.400950,0.046350,-0.181900,29.700000,22.930000,17.140000,9.470000,0.036920,0.210000,0.261900,0.240300,0.802100,0.424100,0.357700,0.367600,0.223800,0.294300,0.263300,0.403000,2.858000,0.007900,0.338000,0.852000,0.046000,0.028500,3.950000,-0.271000,0.043900,-0.003000,-0.000700,4.230000,2.940000,risk-off,0.788900,0.888900,0.711100,0.733300,0.044400,0.311100,0.625600
GOOGL,2026-02-20,252.330000,0.037200,0.043760,0.007350,0.043760,0.007350,-0.017750,-0.080700,0.269770,0.302370,-0.160300,-0.160300,0.119530,0.146400,23.880000,21.230000,17.670000,6.670000,0.029600,0.135400,0.189900,0.169200,0.575000,0.320000,0.286900,0.313500,0.213900,0.267800,0.088900,0.127000,1.824000,0.015200,0.610000,0.768000,-0.028600,0.002000,3.450000,0.268000,-0.012700,0.058000,0.072400,4.230000,2.940000,neutral,0.811100,0.644400,0.416700,0.900000,0.500000,0.594400,0.643900
AMZN,2026-02-20,243.420000,0.041810,0.051630,0.041100,0.051630,0.041100,-0.002910,-0.021740,0.317220,0.297490,-0.196610,-0.196610,0.117270,0.097400,41.830000,30.230000,19.710000,3.470000,0.015900,0.106800,0.137800,0.120000,0.480100,0.104600,0.091000,0.201600,0.086200,0.137300,0.514400,1.038000,1.030000,-0.038300,0.326000,0.530000,0.049000,0.029200,3.690000,0.009000,-0.020400,0.030000,-0.018600,4.230000,2.940000,neutral,0.466700,0.350000,0.222200,0.305600,0.661100,0.066700,0.359400
TSLA,2026-02-20,863.130000,0.029370,0.035900,0.377660,0.035900,0.377660,0.499610,0.210760,0.428250,0.600550,-0.003510,-0.003510,1.774800,-0.082100,113.240000,88.310000,73.840000,13.390000,0.002740,0.008900,0.010600,0.009600,0.175500,0.072200,0.071900,0.102700,0.059900,0.079000,0.172000,1.581000,1.977000,0.054300,0.689000,1.470000,-0.049000,-0.029100,3.410000,0.254000,0.022400,0.052100,-0.001400,4.230000,2.940000,risk-off,0.044400,0,0,0.777800,0.850000,0.777800,0.330800
JPM,2026-02-20,252.930000,0.039970,0.035330,0.025000,0.035330,0.025000,-0.090610,-0.156620,0.240720,0.251420,-0.190960,-0.190960,0.047460,0.052800,12.640000,13.660000,10.680000,3.690000,0.049100,0.103000,0.117800,0.129500,0.602900,0.407700,0.319000,0.162700,0.013500,0.109100,1.261600,1.108000,1.083000,0.088900,0.756000,0.593000,-0.000900,-0.158600,4.620000,0.158000,0.041500,-0.014600,-0.056300,4.230000,2.940000,neutral,0.977800,0.266700,0.288900,0.144400,0.400000,0.888900,0.477200
V,2026-02-20,398.270000,0.028400,0.013070,0.025940,0.013070,0.025940,0.038840,0.033660,0.169630,0.174650,-0.056990,-0.056990,0.191680,-0.087800,29.820000,25.340000,21.770000,17.490000,0.029650,0.104800,0.142900,0.121400,0.808700,0.687500,0.547500,0.531300,0.212800,0.426400,0.531100,1.085000,1.322000,-0.003800,0.546000,1.407000,0.000900,0.158700,3.900000,0.137000,-0.036000,0.051600,-0.004800,4.230000,2.940000,risk-on,0.533300,0.383300,0.866700,0.438900,0.822200,0.400000,0.585800
NFLX,2026-02-20,1544.300000,0.029940,0.014510,-0.042150,0.014510,-0.042150,-0.099600,-0.041900,0.337750,0.333140,-0.213160,-0.213160,0.656320,-0.238300,44.010000,33.370000,30.100000,9.570000,0.017530,0.146500,0.184800,0.171500,0.457000,0.259600,0.219100,0.356900,0.139900,0.235300,0.687200,2.184000,1.189000,0.157900,1,1.380000,-0.017500,-0.030500,4.620000,0.657000,-0.009800,0.026200,0.047600,4.230000,2.940000,neutral,0.266700,0.677800,0.344400,0.255600,0.283300,1,0.438600
AAPL,2026-02-27,235.490000,-0.008050,0.023380,0.067450,0.023380,0.067450,-0.073380,-0.223370,0.260560,0.259700,-0.273130,-0.273130,0.106520,-0.332800,33.380000,31.200000,24.870000,8.610000,0.026990,0.059200,0.080300,0.065000,0.455600,0.308300,0.230900,1.540600,0.246000,0.565600,1.777900,4.556000,0.861000,0.092400,0.898000,0.822000,-0.251600,0.027100,4.280000,0.113000,0.044100,0.059100,-0.045800,4.330000,2.870000,neutral,0.533300,0.111100,0.650000,0,0.438900,1,0.424700
MSFT,2026-02-27,461.540000,-0.020940,-0.025770,-0.034920,-0.025770,-0.034920,-0.071850,-0.207580,0.189250,0.235310,-0.243150,-0.243150,0.013970,0.030300,38.760000,28.840000,25.290000,12.250000,0.020340,0.141200,0.191100,0.164100,0.688000,0.439000,0.352900,0.347700,0.181000,0.273300,0.321000,0.671000,1.302000,-0.036000,0.371000,0.861000,-0.169600,-0.265200,3.840000,-0.264000,-0.006500,0.064900,-0.010000,4.330000,2.870000,risk-on,0.422200,0.594400,0.594400,0.555600,0.400000,0.277800,0.493300
NVDA,2026-02-27,79.690000,-0.048480,-0.055690,0.072110,-0.055690,0.072110,-0.077660,-0.453800,0.416860,0.483830,-0.579140,-0.579140,0.072110,0.143400,53.340000,34.670000,41.800000,27.260000,0.021360,0.732000,0.972500,0.911000,0.737300,0.613800,0.549800,0.870000,0.631700,0.776500,0.127200,0.399000,4.123000,-0.058400,0.273000,1.318000,0.421200,0.238000,3.260000,-0.072000,0.017500,-0.015800,0.003600,4.330000,2.870000,risk-off,0.155600,1,0.905600,0.922200,0.288900,0.111100,0.605000
META,2026-02-27,696.690000,-0.008690,-0.004400,-0.056900,-0.004400,-0.056900,-0.123230,-0.365010,0.411770,0.381510,-0.403590,-0.403590,0.041750,0.138400,27.450000,22.680000,17.240000,9.380000,0.035530,0.203000,0.289600,0.234700,0.807600,0.407700,0.367200,0.362300,0.227000,0.295100,0.256500,0.402000,2.897000,0.003500,0.527000,0.852000,0.038000,0.028900,4.190000,0.031000,-0.007200,-0.020600,0.046400,4.330000,2.870000,risk-off,0.788900,0.888900,0.733300,0.733300,0.100000,0.605600,0.667800
GOOGL,2026-02-27,254.340000,-0.024990,0.007970,0.055700,0.007970,0.055700,-0.060960,-0.104440,0.283170,0.304860,-0.153610,-0.153610,0.128440,-0.001800,24.630000,22.090000,17.420000,6.470000,0.033280,0.143200,0.198100,0.164200,0.582200,0.327300,0.285100,0.312300,0.213500,0.267700,0.092000,0.127000,1.873000,-0.020700,0.373000,0.768000,-0.021800,0.001500,3.620000,-0.219000,0.062300,0.023500,0.007700,4.330000,2.870000,neutral,0.811100,0.738900,0.416700,0.900000,0.555600,0.305600,0.642200
AMZN,2026-02-27,244.570000,-0.025700,0.004720,0.122400,0.004720,0.122400,-0.000570,-0.105190,0.289170,0.308440,-0.192810,-0.192810,0.122550,0.050000,44.580000,32.270000,19.150000,3.650000,0.016560,0.104200,0.126600,0.120400,0.481100,0.107100,0.091300,0.199800,0.083600,0.133700,0.514200,1.037000,1.023000,0.012100,0.527000,0.530000,0.047800,0.027200,4.090000,-0.012000,0.046000,0.052500,-0.074000,4.330000,2.870000,neutral,0.466700,0.261100,0.222200,0.305600,0.700000,0.750000,0.415800
TSLA,2026-02-27,905.050000,-0.029930,0.048570,0.378470,0.048570,0.378470,0.340870,0.268930,0.460550,0.599940,-0.033470,-0.033470,1.909570,0.069900,125.170000,91.210000,67.190000,12.810000,0.002970,0.008700,0.010800,0.010000,0.178100,0.071000,0.070600,0.101700,0.059900,0.079400,0.175100,1.581000,1.997000,0.007200,0.510000,1.470000,-0.047700,-0.027200,3.760000,0.236000,-0.000600,-0.014300,-0.005100,4.330000,2.870000,risk-off,0.044400,0,0,0.777800,0.850000,0.500000,0.303100
JPM,2026-02-27,256.320000,-0.012520,0.013400,0.061500,0.013400,0.061500,-0.054550,-0.170380,0.219470,0.255460,-0.180120,-0.180120,0.061500,0.252900,12.660000,13.240000,11.020000,3.860000,0.051440,0.108200,0.127000,0.116400,0.603200,0.402100,0.313200,0.166600,0.013400,0.110700,1.257400,1.105000,1.095000,0.009700,0.548000,0.593000,-0.000900,-0.157800,4.480000,0.396000,0.054300,-0.000300,0.001500,4.330000,2.870000,neutral,0.977800,0.294400,0.288900,0.144400,0.600000,0.716700,0.495600
V,2026-02-27,402.410000,-0.008700,0.010390,0.040890,0.010390,0.040890,0.048520,0.014160,0.174050,0.177870,-0.047190,-0.047190,0.204060,0.059100,29.580000,27.900000,23.790000,17.530000,0.028600,0.109900,0.142600,0.125500,0.800900,0.677200,0.557000,0.517700,0.207000,0.426300,0.528800,1.082000,1.287000,-0.137800,0,1.407000,0.000800,0.157800,3.150000,0.110000,0.026500,-0.083000,0.001700,4.330000,2.870000,risk-on,0.533300,0.444400,0.844400,0.405600,0.766700,0,0.540300
NFLX,2026-02-27,1484.680000,-0.023510,-0.038610,-0.028990,-0.038610,-0.028990,-0.124910,-0.093160,0.346470,0.342890,-0.243530,-0.243530,0.592370,0.048800,45.640000,34.980000,31.490000,10.350000,0.019860,0.148900,0.197800,0.160600,0.457400,0.265000,0.214800,0.356400,0.139900,0.235700,0.683500,2.177000,1.180000,0.017500,0.446000,1.380000,-0.016100,-0.030500,4.140000,0.204000,0.005000,0.011800,0.011200,4.330000,2.870000,neutral,0.266700,0.666700,0.344400,0.255600,0.300000,0.733300,0.412200
AAPL,2026-03-06,237.170000,-0.008360,0.007130,0.083460,0.007130,0.083460,-0.042590,-0.236930,0.262840,0.251600,-0.267950,-0.267950,0.114420,-0.114400,33.900000,29.790000,23.550000,9.200000,0.031020,0.057600,0.073500,0.066700,0.461900,0.303000,0.236300,1.528900,0.248900,0.564900,1.861100,4.553000,0.850000,0.056700,0.909000,0.822000,-0.255200,0.028500,4.450000,0.302000,-0.005700,0.010700,-0.002700,4.250000,2.700000,neutral,0.533300,0.111100,0.672200,0,0.538900,0.788900,0.423100
MSFT,2026-03-06,466.410000,0.012570,0.010550,-0.006940,0.010550,-0.006940,-0.106900,-0.235170,0.190910,0.227810,-0.235170,-0.235170,0.034350,0.325500,37.710000,27.880000,23.900000,12.700000,0.020280,0.148400,0.183200,0.161000,0.688600,0.435900,0.345400,0.347300,0.179800,0.278200,0.323600,0.668000,1.313000,-0.025100,0.442000,0.861000,-0.164400,-0.258200,4.260000,-0.319000,0.027800,-0.033300,0.031900,4.250000,2.700000,risk-on,0.422200,0.633300,0.594400,0.555600,0.377800,0.188900,0.488900
NVDA,2026-03-06,92.580000,0.011470,0.161750,0.173830,0.161750,0.173830,-0.001510,-0.310130,0.480990,0.511030,-0.511060,-0.511060,0.245530,-0.157800,53.940000,33.570000,45.490000,27.470000,0.019890,0.732300,0.934000,0.853500,0.747200,0.609000,0.550600,0.891700,0.637600,0.766200,0.125400,0.395000,4.198000,0.038600,0.640000,1.318000,0.419500,0.229800,4.210000,-0.321000,-0.001000,0.017300,0.045200,4.250000,2.700000,risk-off,0.155600,1,0.905600,0.922200,0.522200,0.611100,0.690000
META,2026-03-06,682.980000,-0.019810,-0.019680,-0.061080,-0.019680,-0.061080,-0.197820,-0.415330,0.396810,0.385620,-0.415330,-0.415330,0.021250,0.307000,26.670000,23.120000,17.720000,9.200000,0.036410,0.209900,0.269000,0.237100,0.804000,0.417800,0.372800,0.360900,0.227100,0.299300,0.262100,0.400000,2.890000,0.019800,0.604000,0.852000,0.042300,0.032200,3.650000,0.264000,0.023500,0.037200,-0.029800,4.250000,2.700000,risk-off,0.788900,0.888900,0.711100,0.733300,0.061100,0.611100,0.658100
